Matrix_Size,Sparsity_Percent,Format,Run_Number,Execution_Time_s,Memory_Usage_KB
256,50,Dense,1,0.042556,640
256,50,Dense,2,0.035596,384
256,50,Dense,3,0.035378,384
256,50,Sparse,1,0.003892,1280
256,50,Sparse,2,0.003285,1152
256,50,Sparse,3,0.003468,1152
256,70,Dense,1,0.033842,384
256,70,Dense,2,0.033744,512
256,70,Dense,3,0.033815,512
256,70,Sparse,1,0.001552,1280
256,70,Sparse,2,0.001566,1280
256,70,Sparse,3,0.001569,1280
256,90,Dense,1,0.033776,512
256,90,Dense,2,0.034092,512
256,90,Dense,3,0.033895,512
256,90,Sparse,1,0.000570,1152
256,90,Sparse,2,0.000568,1152
256,90,Sparse,3,0.000571,1152
256,95,Dense,1,0.033684,512
256,95,Dense,2,0.033586,512
256,95,Dense,3,0.033664,512
256,95,Sparse,1,0.000586,768
256,95,Sparse,2,0.000552,768
256,95,Sparse,3,0.000563,768
