Matrix_Size,Sparsity_Percent,Format,Run_Number,Execution_Time_s,Memory_Usage_KB
256,50,Dense,1,0.032105,512
256,50,Dense,2,0.032196,384
256,50,Dense,3,0.032159,384
256,50,Sparse,1,0.003856,1280
256,50,Sparse,2,0.004037,1280
256,50,Sparse,3,0.004128,1280
256,70,Dense,1,0.032138,384
256,70,Dense,2,0.032103,512
256,70,Dense,3,0.032106,512
256,70,Sparse,1,0.001691,1280
256,70,Sparse,2,0.001669,1280
256,70,Sparse,3,0.001598,1280
256,90,Dense,1,0.032355,512
256,90,Dense,2,0.032172,512
256,90,Dense,3,0.032358,512
256,90,Sparse,1,0.000590,1152
256,90,Sparse,2,0.000654,1152
256,90,Sparse,3,0.000550,1152
256,95,Dense,1,0.032311,512
256,95,Dense,2,0.032188,384
256,95,Dense,3,0.032112,384
256,95,Sparse,1,0.000572,768
256,95,Sparse,2,0.000614,768
256,95,Sparse,3,0.000607,768
